id,code,name,user_type_id:id,reconcile,chart_template_id:id
5150-06,5150-06,เงินเพิ่มพิเศษ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-07,5150-07,ค่าที่พักอาศัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-08,5150-08,เงินสมทบกองทุนประกันสังคม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-09,5150-09,เงินสมทบกองทุนทดแทน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-10,5150-10,ค่ารักษาพยาบาล,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-11,5150-11,ค่าอบรมสัมนา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-12,5150-12,ค่าแบบฟอร์มพนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-13,5150-13,ค่าเบี้ยประกันชีวิตและอุบัติเหตุ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-14,5150-14,ค่าอาหารและเครื่องดื่ม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-15,5150-15,ค่าจัดเลี้ยงและสันทนาการ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5150-16,5150-16,ค่าสวัสดิการอื่น ๆ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-01,5160-01,ค่าใช้จ่ายสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-02,5160-02,ค่าเครื่องเขียนและแบบพิมพ์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-03,5160-03,ค่าปรับปรุงซ่อมแซม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-04,5160-04,วัสดุสิ้นเปลือง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-05,5160-05,ค่าวารสารและสมาชิก,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-06,5160-06,ค่าเช่าสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-07,5160-07,ค่ายามรักษาความปลอดภัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-08,5160-08,ค่ารักษาความสะอาด,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-09,5160-09,ค่าเช่าอาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-10,5160-10,ค่าเช่ารถ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-11,5160-11,ค่าใช้จ่ายเบ็ดเตล็ด,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-12,5160-12,ค่าใช้จ่ายยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-13,5160-13,ค่าวัสดุสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-14,5160-14,ค่าสาธารณูปโภคและสื่อสาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-15,5160-15,ค่าโทรศัพท์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-16,5160-16,ค่าไฟฟ้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-17,5160-17,ค่าน้ำประปา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-18,5160-18,ค่าไปรษณีย์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-19,5160-19,ค่าเสื่อมราคา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-20,5160-20,ค่าเสื่อมราคา-อาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-21,5160-21,ค่าเสื่อมราคา-อุปกรณ์สำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-22,5160-22,ค่าเสื่อมราคา-เครื่องตกแต่งสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-23,5160-23,ค่าเสื่อมราคา-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-24,5160-24,ค่าเสื่อมราคา-เครื่องจักร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-25,5160-25,ค่าเบี้ยประกันภัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-26,5160-26,ค่าเบี้ยประกัน-อาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-27,5160-27,ค่าเบี้ยประกัน-อุปกรณ์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-28,5160-28,ค่าเบี้ยประกัน-เครื่องตกแต่ง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-29,5160-29,ค่าเบี้ยประกัน-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-30,5160-30,ค่าเบี้ยประกันภัย-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-31,5160-31,ค่าเบี้ยประกันภัย-อัคคีภัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-32,5160-32,ค่าภาษีและค่าธรรมเนียม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-33,5160-33,ภาษีบำรุงท้องที่และภาษีโรงเรือน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5160-34,5160-34,ค่าภาษียานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-01,5200-01,ค่านายหน้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-02,5200-02,ค่าโฆษณา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-03,5200-03,ค่าสินค้าตัวอย่าง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-04,5200-04,ค่าส่งเสริมการขาย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-05,5200-05,ค่าขนส่งเข้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-06,5200-06,ค่ารับรอง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-07,5200-07,ค่าประกันภัยสินค้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-08,5200-08,คชจ.ในการขาย-ค่าติดต่อสื่อสาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-09,5200-09,ค่าใช้จ่ายเดินทาง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-10,5200-10,ค่าใช้จ่ายเกี่ยวกับยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-11,5200-11,คชจ.ขาย ค่าวัสดุสิ้นเปลือง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-12,5200-12,ค่าแฟรน์ไชส์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5200-13,5200-13,ค่าวิจัยตลาด,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-01,5310-01,เงินเดือน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-02,5310-02,ค่าล่วงเวลา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-03,5310-03,ค่าเบี้ยเลี้ยง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-04,5310-04,โบนัส,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-05,5310-05,เงินเพิ่มพิเศษ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-07,5310-07,ค่าที่พักอาศัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-08,5310-08,ค่านายหน้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-09,5310-09,เงินสมทบกองทุนประกันสังคม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-10,5310-10,เงินสมทบกองทุนทดแทน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-11,5310-11,ค่ารักษาพยาบาล,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-12,5310-12,ค่าอบรมสัมนา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-13,5310-13,ค่าแบบฟอร์มพนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-14,5310-14,ค่าเบี้ยประกันชีวิตและอุบัติเหตุ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-15,5310-15,ค่าอาหารและเครื่องดื่ม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-16,5310-16,ค่าจัดเลี้ยงและสันทนาการ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-17,5310-17,ค่าสวัสดิการอื่น ๆ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-19,5310-19,โปรแกรมสำเร็จรูปตัดจ่าย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-20,5310-20,ค่าซ่อมอุปกรณ์คอมพิวเตอร์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5310-21,5310-21,ค่าเปรียบเทียบปรับ ประกันสังคม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-01,5320-01,ค่าเครื่องเขียนและแบบพิมพ์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-02,5320-02,ค่าปรับปรุงซ่อมแซม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-03,5320-03,วัสดุสิ้นเปลือง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-04,5320-04,ค่าวารสารและสมาชิก,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-05,5320-05,ค่าเช่าสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-06,5320-06,ค่ายามรักษาความปลอดภัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-07,5320-07,ค่ารักษาความสะอาด,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-08,5320-08,ค่าเช่าอาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-09,5320-09,ค่าเช่ารถ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-10,5320-10,ค่าใช้จ่ายเบ็ดเตล็ด,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-11,5320-11,ค่าใช้จ่ายยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5320-12,5320-12,ค่าวัสดุสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5330-01,5330-01,ค่าโทรศัพท์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5330-02,5330-02,ค่าไฟฟ้า,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5330-03,5330-03,ค่าน้ำประปา,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5330-04,5330-04,ค่าไปรษณีย์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5340-02,5340-02,ค่าเสื่อมราคา-อาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5340-03,5340-03,ค่าเสื่อมราคา-อุปกรณ์สำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5340-04,5340-04,ค่าเสื่อมราคา-เครื่องตกแต่งสำนักงาน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5340-05,5340-05,ค่าเสื่อมราคา-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5340-31,5340-31,ค่าเสื่อมราคา-เครื่องจักร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-01,5350-01,ค่าเบี้ยประกัน-อาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-02,5350-02,ค่าเบี้ยประกัน-อุปกรณ์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-03,5350-03,ค่าเบี้ยประกัน-เครื่องตกแต่ง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-04,5350-04,ค่าเบี้ยประกัน-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-05,5350-05,ค่าเบี้ยประกันภัย-ยานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5350-06,5350-06,ค่าเบี้ยประกันภัย-อัคคีภัย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-01,5360-01,ภาษีบำรุงท้องที่และภาษีโรงเรือน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-02,5360-02,ค่าภาษียานพาหนะ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-03,5360-03,ภาษีป้าย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-04,5360-04,ค่าธรรมเนียมธนาคาร,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-05,5360-05,ค่าตรวจสอบบัญชีและปรึกษากฏหมาย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-06,5360-06,ค่าธรรมเนียมหนังสือค้ำประกัน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-07,5360-07,ค่าจัดตั้งบริษัท,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-08,5360-08,ค่าจัดทำบัญชี,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-09,5360-09,ค่าสอบบัญชี,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-10,5360-10,ค่าธรรมเนียมอื่น,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5360-11,5360-11,ค่าภาษีป้ายรถยนต์,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-01,5370-01,ดอกเบี้ยจ่าย,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-02,5370-02,หนี้สงสัยจะสูญ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-03,5370-03,ค่ารับรอง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-04,5370-04,ค่าบริจาคการกุศล,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-05,5370-05,ส่วนลดจากการขายลดเช็ค,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-06,5370-06,ดอกเบี้ยเช่าซื้อ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-07,5370-07,กำไรขาดทุนจากอัตราแลกเปลี่ยน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5370-11,5370-11,หนังสือรับรอง,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5380-00,5380-00,หนี้สูญ,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5390-01,5390-01,ภาษีซื้อไม่ขอคืน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5390-02,5390-02,ภาษีซื้อขอคืนไม่ได้,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5390-03,5390-03,เบี้ยปรับเงินเพิ่ม,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5390-04,5390-04,ค่าภาษีถูกหัก ณ ที่จ่ายไม่ขอคืน,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
5390-05,5390-05,รายจ่ายต้องห้ามตามม.65 ตรี,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
6000-00,6000-00,ภาษีเงินได้นิติบุคคล,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
9999-99,9999-99,บัญชีพัก,account.data_account_type_expenses,TRUE,l10n_th_thaiodoo_c1.chart
